author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,subtitle_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
Mike Personick,Bigdata: Enabling the Semantic Web at Web-Scale,,2009,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_01.pdf,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-01,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Mike Personick,1,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_01.pdf,1
Mike Lang Jr and Greg Milbank,"Descriptions, Ontologies, Collaboration and Governance",,2009,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_04.pdf,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-02,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Greg Milbank;Mike Lang Jr,2,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_04.pdf,1
Evan Sandhaus,Linked Data And The New York Times,,2009,http://data.nytimes.com/ppt/iswc_public.ppt,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-03,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Evan Sandhaus,1,http://data.nytimes.com/ppt/iswc_public.ppt,1
Craig Norvell,"Moving Objects: Look in the Past, Manage the Present and Predict the Future",,2009,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_02.pdf,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-04,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Craig Norvell,1,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_02.pdf,1
Cory Casanave,Open Architectures for Open Government,,2009,http://lib.modeldriven.org/MDLibrary/trunk/Pub/Presentations/ISWC_OpenGovernmentArchitectures.ppt,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-05,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Cory Casanave,1,http://lib.modeldriven.org/MDLibrary/trunk/Pub/Presentations/ISWC_OpenGovernmentArchitectures.ppt,1
John Hebeler and Andrew Perez-Lopez,Strengthen your SOA with Semantics,,2009,http://semwebprogramming.org/conferences/ISWC2009/StrengtheningSOAwithSemanticsISWC2009.pdf,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-06,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Andrew Perez-Lopez;John Hebeler,2,http://semwebprogramming.org/conferences/ISWC2009/StrengtheningSOAwithSemanticsISWC2009.pdf,1
Gary Sikora,Systems Ontological Use-Cases,,2009,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_03.pdf,,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings,http://data.semanticweb.org/conference/iswc/2009/industry-proceedings/paper-07,Proceedings of ISWC 2009 Industry Track,,,Industrial Track Paper,,0,,0,Gary Sikora,1,http://data.semanticweb.org/pdfs/iswc/2009/industry/iswc_industry_03.pdf,1
Heiko Paulheim and Florian Probst,A Framework for Ontologies-based User Interface Integration,,2009,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/101/paper101.pdf,,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings/paper-01,Proceedings of ISWC 2009 Poster and Demo,,,Poster/Demo Paper,,0,,0,Heiko Paulheim;Florian Probst,2,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/101/paper101.pdf,1
"Ian Oliver,John Howse,Gem Stapleton,Esko Nuutila and Seppo Torma",A Proposed Diagrammatic Logic for Ontology Specification and Visualization,,2009,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/137/paper137.pdf,,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings/paper-04,Proceedings of ISWC 2009 Poster and Demo,,"We propose a diagrammatic logic that is suitable for specifying ontologies. We provide a specification of a simple ontology and include examples to show how to place constraints on ontology specifications and define queries. The framework also allows the depiction of instances, multiple ontologies to be related, and reasoning about ontologies.",Poster/Demo Paper,,0,,0,John Howse;Esko Nuutila;Ian Oliver;Gem Stapleton;Seppo Torma,5,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/137/paper137.pdf,1
"Cui Tao,Jyotishman Pathak,Harold R. Solbrig,Wei-Qi Wei and Christopher G. Chute",A RDF-base Normalized Model for Biomedical Lexical Grid,,2009,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/174/paper174.pdf,,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2009/poster-demo-proceedings/paper-05,Proceedings of ISWC 2009 Poster and Demo,,"The Lexical Grid (LexGrid) project is an on-going community-driven initiative coordinated by the Mayo Clinic Division of Biomedical Statistics and Informatics. It provides a common terminology model to represent multiple vocabulary and ontology sources as well as a scalable and robust API for accessing such information. While successfully used and adopted in the biomedical and clinical community, LexGrid model now needs to be aligned with emerging Semantic Web standards and specifications. This paper introduces the LexRDF model, which maps the LexGrid model elements to corresponding constructs in W3C speci¯cations such as RDF, OWL, and SKOS. With LexRDF, the terminological information represent in LexGrid can be translated to RDF triples, and therefore allowing LexGrid to leverage standard tools and technologies such as SPARQL and RDF triple stores.",Poster/Demo Paper,,0,,0,Wei-Qi Wei;Jyotishman Pathak;Harold R. Solbrig;Cui Tao;Christopher G. Chute,5,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2009-poster/174/paper174.pdf,1
