author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,subtitle_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
Giorgos Flouris,Applying Belief Change to Ontology Evolution,,2005,http://ecrg.it.nuigalway.ie/iswds2005/Flouris.ppt,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-03,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Giorgos Flouris,1,http://ecrg.it.nuigalway.ie/iswds2005/Flouris.ppt,1
Alessio Gugliotta,Knowledge Modeling for Integrating Semantic Web Services in E-Government Applications,,2005,http://ecrg.it.nuigalway.ie/iswds2005/ISWC05_Gugliotta2.ppt,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-01,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Alessio Gugliotta,1,http://ecrg.it.nuigalway.ie/iswds2005/ISWC05_Gugliotta2.ppt,1
Carlos Lamsfus,Re-use and alignment of ontologies: the art-E-fact ontology as an extension of the CIDOC Conceptual Reference Model(CRM),,2005,http://ecrg.it.nuigalway.ie/iswds2005/ISWDS_CarlosLamsfus.ppt,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-02,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Carlos Lamsfus,1,http://ecrg.it.nuigalway.ie/iswds2005/ISWDS_CarlosLamsfus.ppt,1
Owen Gilson,Reducing the Complexity of Semantic Data Translation,,2005,http://ecrg.it.nuigalway.ie/iswds2005/GilsonV3.pdf,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-05,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Owen Gilson,1,http://ecrg.it.nuigalway.ie/iswds2005/GilsonV3.pdf,1
Lee Lacy,Representing Discrete-Event Simulation Models with the Web Ontology Language - OWL,,2005,http://ecrg.it.nuigalway.ie/iswds2005/LacyISWDS110305ts.ppt,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-07,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Lee Lacy,1,http://ecrg.it.nuigalway.ie/iswds2005/LacyISWDS110305ts.ppt,1
Santtu Toivonen,Semantic Web as a Platform for Distributing Cognition,,2005,http://ecrg.it.nuigalway.ie/iswds2005/Toivonen2.pdf,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-04,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Santtu Toivonen,1,http://ecrg.it.nuigalway.ie/iswds2005/Toivonen2.pdf,1
Brian Shields,Semantically Enriching Access Control Rules for Web Services,,2005,http://ecrg.it.nuigalway.ie/iswds2005/BShields.ppt,,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings,http://data.semanticweb.org/conference/iswc/2005/doctoral-symposium-proceedings/paper-06,Proceedings of ISWC 2005 Doctoral Symposium,,,Doctoral Consortium Paper,,0,,0,Brian Shields,1,http://ecrg.it.nuigalway.ie/iswds2005/BShields.ppt,1
"Kurt Reichinger,Robert Baumgartner,Gerd Reichinger",A Prototype for Integrated ENUM and FOAF Queries,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-16.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-01,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Kurt Reichinger;Robert Baumgartner;Gerd Reichinger,3,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-16.pdf,1
Valentin Zacharias,A topic hierarchy on the web,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-60.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-02,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Valentin Zacharias,1,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-60.pdf,1
"Roar Fjellheim,David Norheim",AKSIO - An application of Semantic Web technology for knowledge management in the petroleum industry,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-18.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-03,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,David Norheim;Roar Fjellheim,2,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-18.pdf,1
"Ioan Toma,Dumitru Roman,Kashif Iqbal",ASG - Adaptive Services Grid,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-94.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-06,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Dumitru Roman;Ioan Toma;Kashif Iqbal,3,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-94.pdf,1
"Ashley Smith,Leslie Carr,Wendy Hall",An Opportunistic Approach to Adding Value to a Photograph Collection,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-24.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-04,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Ashley Smith;Leslie Carr;Wendy Hall,3,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-24.pdf,1
"Alan Smeaton,Colum Foley,Kieran McDonald",Annodex-ing Broadcast TV News for Semantic Browsing and,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-12.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-05,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Alan Smeaton;Colum Foley;Kieran McDonald,3,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-12.pdf,1
"Martin Dzbor,Philipp Cimiano,,Victoria Uren and,Sam Chapman",Approaches to Integrating Semantic Applications,,2005,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-46.pdf,,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2005/poster-demo-proceedings/paper-23,Proceedings of ISWC 2005 Poster and Demo,,,Poster Paper,,0,,0,Victoria Uren and;Martin Dzbor;Philipp Cimiano;Sam Chapman,4,https://github.com/lidingpku/iswc-archive/raw/master/paper/iswc-2005-poster-demo/PID-46.pdf,1
