author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,subtitle_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
Xin Liu,A General Approach to Query the Web of Data,,2010,http://iswc2010.semanticweb.org/pdf/383.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-01,Proceedings of ISWC 2010 Doctoral Consortium,,"With the development of the Semantic Web, an increasing amount of data with semantics has been published on the web according to the Linked Data principles and become ubiquitous. The requirement of utilizing the entire web of data to answer a query has arised since the desire for the application of such ubiquitous semantic data sources. However, limited research work has been made on the query above the web of data and there is not a formal way to describe the query processing procedure. In this paper, we propose a general query processing method on the web of data, which contains three steps: data inference configuration, data discovery, result generation and ranking. Finally, we briefly represent the work already done and the future work.",Doctoral Consortium Paper,,0,,0,Xin Liu,1,http://iswc2010.semanticweb.org/pdf/383.pdf,1
Peiqin Gu,Causal Knowledge Modeling for Traditional Chinese Medicine using OWL 2,,2010,http://iswc2010.semanticweb.org/pdf/432.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-02,Proceedings of ISWC 2010 Doctoral Consortium,,"Unlike Western Medicine, those in Traditional Chinese Medicine (TCM) are based on inherent rules or patterns, which can be considered as causal links. Existing approaches tend to apply computational methods on semantic ontology to do knowledge mining, but it cannot perfectly make use of internal principles in TCM. When it comes to knowledge representation, we can transform this inherent knowledge into causal graphs. In this paper, we present an approach to build a TCM knowledge model with the capability of rule reasoning using OWL 2. In particular, we focused on the causal relations among syndrome and symptoms, changes between syndromes. We evaluated our approach by giving two typical use cases and implemented them using Jena, a Java framework supporting RDF, OWL, and including a rule-based inference engine. The evaluation results suggested that our approach clearly displayed the causal relations in TCM and shows a great potential in TCM knowledge mining.",Doctoral Consortium Paper,,0,,0,Peiqin Gu,1,http://iswc2010.semanticweb.org/pdf/432.pdf,1
Nuno Lopes,Extensions of SPARQL towards Heterogeneous Sources and Domain Annotations,,2010,http://iswc2010.semanticweb.org/pdf/442.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-03,Proceedings of ISWC 2010 Doctoral Consortium,,"SPARQL is the W3C Recommended query language for RDF. My current work aims at extending SPARQL in two distinct ways: (i) to allow a better integration of RDF and XML; and (ii) to define a query language for RDF extended with domain specific annotations. Transforming data between XML and RDF is a much required, but not so simple, task in the Semantic Web. The aim of (i) is to enable transparent transformations between these two representation formats, relying on a new query language called XSPARQL. On a different aspect, representing and reasoning with meta-information about RDF triples has been addressed by several proposals for representing time, trust and provenance. A common extension of RDF (and RDFS inferencing rules), capable of encompassing all these proposals, with a clearly defined semantics is much desirable. Building on top of Annotated RDF, we present such an extension and an extension of the SPARQL language capable of querying triples with annotations. An open research issue remains the possibility of unifying the two, currently independent, extensions of SPARQL.",Doctoral Consortium Paper,,0,,0,Nuno Lopes,1,http://iswc2010.semanticweb.org/pdf/442.pdf,1
Milan Stankovic,Open Innovation and Semantic Web: Problem Solver Search on Linked Data,,2010,http://iswc2010.semanticweb.org/pdf/439.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-04,Proceedings of ISWC 2010 Doctoral Consortium,,"The novel practice of Open Innovation on the Web has imposed new challenges to known expert search approaches. At the same time, many potential sources of evidence about users' interest and expertise (e.g., research papers, blogs, activities) are becoming ubiquitously present as Linked Data. In this paper we present a research effort for suggesting the right way to search for potential Open Innovation problem solvers in Linked Data sources, by looking at the structure of available data sources. In addition, we seek to develop ways of suggesting domains of expertise that are in some way relevant to the domain of the Open Innovation problem, in order to enable a cross-domain solution transfer.",Doctoral Consortium Paper,,0,,0,Milan Stankovic,1,http://iswc2010.semanticweb.org/pdf/439.pdf,1
Roger Castillo,RDFMatView: Indexing RDF Data for SPARQL Queries,,2010,http://iswc2010.semanticweb.org/pdf/376.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-05,Proceedings of ISWC 2010 Doctoral Consortium,,"The Semantic Web is now gaining momentum due to its efforts to create a universal medium for the exchange of semantically tagged data. The representation and querying of semantic data have been made by means of directed labelled graphs using RDF and SPARQL, standards which have been widely accepted by the scientific community. Currently, most implementations of RDF/SPARQL are based on relational database technology. But executing complex queries in these systems usually is rather slow due to the number of joins that need to be performed. In this article, we describe an indexing method using materialized SPARQL queries as indexes on RDF data sets to reduce the query processing time. We provide a formal definition of materialized SPARQL queries, a cost model to evaluate their impact on query performance, a storage scheme for the materialization, and an algorithm to find the optimal set of indexes given a query. We also introduce different approaches to integrate materialized queries into an existing SPARQL query engine.",Doctoral Consortium Paper,,0,,0,Roger Castillo,1,http://iswc2010.semanticweb.org/pdf/376.pdf,1
Haishan Liu,Towards Semantic Data Mining,,2010,http://iswc2010.semanticweb.org/pdf/448.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-06,Proceedings of ISWC 2010 Doctoral Consortium,,"Incorporating domain knowledge is one of the most challenging problems in data mining. The Semantic Web technologies are promising to offer solutions to formally capture and efficiently use the domain knowledge. We call data mining technologies powered by the Semantic Web, capable of systematically incorporating domain knowledge, the semantic data mining. In this paper, we identify the importance of semantic annotation-a crucial step towards realizing semantic data mining by bringing meaning to data, and propose a learning-based semantic search algorithm for annotating (semi-) structured data.",Doctoral Consortium Paper,,0,,0,Haishan Liu,1,http://iswc2010.semanticweb.org/pdf/448.pdf,1
Daniel Bertinshaw,Using Multi-Agent Based Middleware to Implement a Distributed Peer-To-Peer Semantic Service Oriented Architecture,,2010,http://iswc2010.semanticweb.org/pdf/443.pdf,,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings,http://data.semanticweb.org/conference/iswc/2010/doctoral-consortium-proceedings/paper-07,Proceedings of ISWC 2010 Doctoral Consortium,,In this work we give the outline for a novel approach to semantic web service based applications. This approach centers around the use of so-called intelligent agents as the basis for the middleware layer. We give a broad outline of our prototype architecture and preliminary correctness results.,Doctoral Consortium Paper,,0,,0,Daniel Bertinshaw,1,http://iswc2010.semanticweb.org/pdf/443.pdf,1
Jay Katzen,Applications at the heart of a new Publishing Ecosystem,,2010,,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-01,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Jay Katzen,1,,0
Marc Hadfield,Building the Inform Semantic Publishing Ecosystem: from Author to Audience,,2010,http://iswc2010.semanticweb.org/pdf/555.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-02,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Marc Hadfield,1,http://iswc2010.semanticweb.org/pdf/555.pdf,1
Silver Oliver,Enhancing the BBC's World Cup coverage with an ontology driven information architecture,,2010,http://iswc2010.semanticweb.org/pdf/550.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-03,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Silver Oliver,1,http://iswc2010.semanticweb.org/pdf/550.pdf,1
Mark Greaves and Jesse (Jiaxin) Wang,From Knowledge Capture to Semantic Applications: The Evolution of Semantic MediaWiki,,2010,http://iswc2010.semanticweb.org/pdf/548.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-04,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Mark Greaves;Jesse (Jiaxin) Wang,2,http://iswc2010.semanticweb.org/pdf/548.pdf,1
Jans Aasman,Intelligent Decision Automation on an Event Driven Semantic Platform,,2010,http://iswc2010.semanticweb.org/pdf/552.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-05,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Jans Aasman,1,http://iswc2010.semanticweb.org/pdf/552.pdf,1
Sam Chapman and Fabio Ciravegna,K-Spend: Semantic Web Technologies for Spend Analysis,,2010,http://iswc2010.semanticweb.org/pdf/551.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-06,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Sam Chapman;Fabio Ciravegna,2,http://iswc2010.semanticweb.org/pdf/551.pdf,1
"Peter Haase,Tobias Mathass,Michael Schmidt,Andreas Eberhart and Ulrich Walther",Self-Service Development of Linked Data Applications with the Information Workbench,,2010,http://iswc2010.semanticweb.org/pdf/547.pdf,,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings,http://data.semanticweb.org/conference/iswc/2010/industry-proceedings/paper-07,Proceedings of ISWC 2010 Industry Track,,,Industrial Track Paper,,0,,0,Andreas Eberhart;Ulrich Walther;Tobias Mathass;Michael Schmidt;Peter Haase,5,http://iswc2010.semanticweb.org/pdf/547.pdf,1
