person_uri,name,other_names,first_name,last_name,email,organization,country,homepage,bio,domain,depiction,homepage_organization,role_event,role_type,role_label,source,EOL
,Carole Goble  ,,,,,University of Manchester,UK,http://www.cs.man.ac.uk/~carole/,,,,,[ME],swc:Chair,General Chair,http://iswc2014.semanticweb.org/organization,EOL
,Chiara Ghidini,,,,,Fondazione Bruno Kessler,Italy,https://shell.fbk.eu/people/profile/ghidini,,,,,[ME],swc:Chair,Local Chair,http://iswc2014.semanticweb.org/organization,EOL
,Luciano Serafini,,,,,Fondazione Bruno Kessler,Italy,https://dkm.fbk.eu/index.php/Luciano_Serafini,,,,,[ME],swc:Chair,Local Chair,http://iswc2014.semanticweb.org/organization,EOL
,Peter Mika,,,,,Yahoo Labs ,Spain,http://labs.yahoo.com/author/pmika/,,,,,[ME],swc:Chair,Program Chair,http://iswc2014.semanticweb.org/organization,EOL
,Tania Tudorache,,,,,Stanford University,USA,http://www.stanford.edu/~ttania,,,,,[ME],swc:Chair,Program Chair,http://iswc2014.semanticweb.org/organization,EOL
,Craig Knoblock ,,,,,University of Southern California,USA,http://www.isi.edu/~knoblock,,,,,[ME],swc:Chair,In-Use Track Chair,http://iswc2014.semanticweb.org/organization,EOL
,Denny Vrandečić ,,,,,Google,USA,http://simia.net/wiki/Denny,,,,,[ME],swc:Chair,In-Use Track Chair,http://iswc2014.semanticweb.org/organization,EOL
,Axel Polleres ,,,,,Vienna University of Economics & Business,Austria,http://www.polleres.net/,,,,,[ME],swc:Chair,Industry Track Chair,http://iswc2014.semanticweb.org/organization,EOL
,Alexander G. Castro ,,,,,LinkingData I/O LLC,USA,http://www.alexandergarcia.name/,,,,,[ME],swc:Chair,Industry Track Chair,http://iswc2014.semanticweb.org/organization,EOL
,Richard Benjamins ,,,,,Telefonica,Spain,http://www.researchgate.net/profile/V_Richard_Benjamins/,,,,,[ME],swc:Chair,Industry Track Chair,http://iswc2014.semanticweb.org/organization,EOL
,Chris Welty ,,,,,Google,US,http://researcher.watson.ibm.com/researcher/view.php?person=us-welty,,,,,[ME],swc:Chair,"Replication, Benchmark, Data and Software Track Chairs",http://iswc2014.semanticweb.org/organization,EOL
,Abraham Bernstein ,,,,,University of Zurich,Switzerland,http://www.ifi.uzh.ch/ddis/people/bernstein.html,,,,,[ME],swc:Chair,"Replication, Benchmark, Data and Software Track Chairs",http://iswc2014.semanticweb.org/organization,EOL
,Jacco van Ossenbruggen ,,,,,Centrum voor Wiskunde en Informatica,The Netherlands,http://homepages.cwi.nl/~jrvosse/,,,,,[ME],swc:Chair,Posters and Demos Chair,http://iswc2014.semanticweb.org/organization,EOL
,Matthew Horridge ,,,,,Stanford University,USA,http://www.stanford.edu/~horridge/,,,,,[ME],swc:Chair,Posters and Demos Chair,http://iswc2014.semanticweb.org/organization,EOL
,Marco Rospocher ,,,,,Fondazione Bruno Kessler ,Italy,https://dkm.fbk.eu/index.php/Marco_Rospocher,,,,,[ME],swc:Chair,Posters and Demos Chair,http://iswc2014.semanticweb.org/organization,EOL
