person_uri,name,other_names,first_name,last_name,email,organization,country,homepage,bio,domain,depiction,homepage_organization,role_event,role_type,role_label,source,EOL
,"Tania Tudorache",,Tania,Tudorache,,"Stanford University",,,,,,,[ME],swc:Chair,"In-Use Track Chair",,EOL
,"Gianluca Correndo",,Gianluca,Correndo,,"University of Southampton",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Evren Sirin",,Evren,Sirin,,"Clark & Parsia",,,,,,,[ME],swc:Chair,"In-Use Track Chair",,EOL
,"Manuel Salvadores",,Manuel,Salvadores,,"Stanford University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Jens Lehmann",,Jens,Lehmann,,"University of Leipzig",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Natasha F. Noy","Natasha F. Noy",Natasha,Noy,,"Stanford University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Thorsten Liebig",,Thorsten,Liebig,,Derivo,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Sören Auer",,Sören,Auer,,"TU Chemnitz",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Michael Hausenblas",,Michael,Hausenblas,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Tudor Groza",,Tudor,Groza,,"University of Queensland",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Fouad Zablith",,Fouad,Zablith,,"KMi, The Open University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Yuan-Fang Li",,Yuan-Fang,Li,,"Monash University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Yves Raimond",,Yves,Raimond,,BBC,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Hugh Glaser",,Hugh,Glaser,,"University of Southampton",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Tom Heath",,Tom,Heath,,Talis,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Wei Hu",,Wei,Hu,,"Nanjing University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Mark Greaves",,Mark,Greaves,,"Vulcan Inc",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Jans Aasman",,Jans,Aasman,,Franz,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Krzysztof Janowicz",,Krzysztof,Janowicz,,"UC Santa Barbara",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Leigh Dodds",,Leigh,Dodds,,Ingenta,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Vinay Chaudhri",,Vinay,Chaudhri,,"SRI International",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Vit Novacek",,Vit,Novacek,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Jacco Van Ossenbruggen",,Jacco,"Van Ossenbruggen",,"Centrum Wiskunde & Informatica (CWI)",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Marta Sabou",,Marta,Sabou,,"MODUL University Vienna",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
