person_uri,name,other_names,first_name,last_name,email,organization,country,homepage,bio,domain,depiction,homepage_organization,role_event,role_type,role_label,source,EOL
,"Frank van Harmelen",,,,,"Vrije Universiteit Amsterdam","The Netherlands",,,,,,[ME],swc:Chair,"Conference Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Sheila McIlraith",,,,,"University of Toronto",Canada,,,,,,[ME],swc:Chair,"Program Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Dimitris Plexousakis",,,,,"University of Crete",Greece,,,,,,[ME],swc:Chair,"Program Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Riichiro Mizoguchi",,,,,"Osaka University",Japan,,,,,,[ME],swc:Chair,"Local Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Vipul Kashyap",,,,,"Partners HealthCare System, Inc.",USA,,,,,,[ME],swc:Chair,"Tutorial Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Takahira Yamaguchi",,,,,"Keio University",Japan,,,,,,[ME],swc:Chair,"Tutorial Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Natasha Noy",,,,,"Stanford University",USA,,,,,,[ME],swc:Chair,"Workshop Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Jeremy J. Carroll",,,,,"Hewlett Packard Labs, Bristol",UK,,,,,,[ME],swc:Chair,"Posters Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Stefan Decker",,,,,"Digital Enterprise Research Institute, National University of Ireland Galway",Ireland,,,,,,[ME],swc:Chair,"Demos Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Steffen Staab",,,,,"Institute AIFB, Univ. of Karlsruhe",Germany,,,,,,[ME],swc:Chair,"Meta-data Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Steffen Staab",,,,,"Ontoprise GmbH",Germany,,,,,,,,,http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Michel Klein",,,,,,,,,,,,[ME],swc:Chair,"Semantic Web Challenge Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Ubbo Visser",,,,,"University of Bremen",Germany,,,,,,[ME],swc:Chair,"Semantic Web Challenge Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Jun-ichi Akahani",,,,,"NTT Corporation",Japan,,,,,,[ME],swc:Chair,"Industrial Track Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Dean Allemang",,,,,"TopQuadrant Inc.",USA,,,,,,[ME],swc:Chair,"Industrial Track Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Akira Maeda",,,,,"Hitachi Ltd.",Japan,,,,,,[ME],swc:Chair,"Sponsor Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Massimo Paolucci",,,,,"Carnegie Mellon University",USA,,,,,,[ME],swc:Chair,"Sponsor Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"York Sure",,,,,"Institute AIFB, University of Karlsruhe",Germany,,,,,,[ME],swc:Chair,"Sponsor Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Hiroshi Tsuda",,,,,"Fujitsu Ltd.",Japan,,,,,,[ME],swc:Chair,"Exhibition Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Akiko Inaba",,,,,"Osaka University",Japan,,,,,,[ME],swc:Chair,"Publicity Chair",http://iswc2004.semanticweb.org/committee/index.php,EOL
,,,,,,,,,,,,,,,,,
,"Hamish Cunningham",,,,,"University of Sheffield",UK,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Oren Etzioni",,,,,"University of Washington",USA,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Jerome Euzenat",,,,,"INRIA Rhone-Alpes",France,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Tim Finin",,,,,"University of Maryland Baltimore County",USA,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Carole Goble",,,,,"University of Manchester",UK,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
,"Benjamin Grosof",,,,,"Massachussets Institute of Technology",USA,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC member",http://iswc2004.semanticweb.org/committee/index.php,EOL
